opo_id,opo_name,lat,lon
0,Arkansas Regional Organ Recovery Agency,34.751,-92.34550000000002
1,Cascade Life Alliance,45.5078,-122.68969999999999
2,Center for Donation and Transplant,42.7003,-73.8575
3,Center for Organ Recovery and Education,40.5346,-79.8805
4,Donor Alliance,39.7218,-104.8951
5,Donor Network West,37.7562,-121.9522
6,Donor Network of Arizona,33.4227,-111.9261
7,DonorConnect,40.6568,-111.8904
8,Finger Lakes Donor Recovery Network,43.0834,-77.6344
9,Gift of Hope Organ & Tissue Donor Network,41.971999999999994,-88.0202
10,Gift of Life Donor Program,39.966,-75.151
11,Gift of Life Michigan,42.2328,-83.7015
12,HonorBridge,35.5866,-77.3485
13,Indiana Donor Network,39.789,-86.2136
14,Infinite Legacy,39.2309,-76.6969
15,Iowa Donor Network,41.7443,-91.6061
16,Legacy of Hope,33.5062,-86.8003
17,Legacy of Life Hawaii,21.3295,-157.8615
18,Life Alliance Organ Recovery Agency,25.7864,-80.2042
19,Life Connection of Ohio,39.7171,-84.1342
20,LifeCenter Northwest,47.5614,-122.1552
21,LifeCenter Organ Donor Network,39.1072,-84.502
22,LifeChoice Donor Services,42.3986,-71.2451
23,LifeGift Organ Donation Center,29.6852,-95.40170000000002
24,LifeLink of Florida,27.9382,-82.3756
25,LifeLink of Georgia,33.9381,-84.1972
26,LifeLink of Puerto Rico,37.41130517241378,-91.7013
27,LifeNet Health,36.776,-76.0766
28,LifeQuest Organ Recovery Services,29.6785,-82.3679
29,LifeShare Carolinas,35.1677,-80.7932
30,LifeShare Transplant Donor Services of Oklahoma,35.5583,-97.6375
31,LifeSource Upper Midwest Organ Procurement Organization,44.9996,-93.30050000000001
32,Lifebanc,41.4416,-81.5486
33,Lifeline of Ohio,39.9874,-83.0456
34,Lifesharing - A Donate Life Organization,32.7783,-117.1335
35,Live On Nebraska,41.2435,-95.9629
36,LiveOnNY,40.7446,-73.9345
37,Louisiana Organ Procurement Agency,30.4876,-90.0959
38,Mid-America Transplant Services,38.6185,-90.2564
39,Mid-South Transplant Foundation,35.1556,-89.7762
40,Midwest Transplant Network,39.0278,-94.6558
41,Mississippi Organ Recovery Agency,32.3299,-90.0915
42,Network for Hope,38.2651,-85.5582
43,Nevada Donor Network,36.152,-115.1092
44,New England Organ Bank,42.3986,-71.2451
45,New Jersey Organ and Tissue Sharing Network OPO,40.7004,-74.4023
46,New Mexico Donor Services,35.0818,-106.6482
47,OneLegacy,34.1248,-117.9031
48,OurLegacy,28.625500000000002,-81.3646
49,Sierra Donor Services,38.5673,-121.55160000000001
50,Southwest Transplant Alliance,32.8756,-96.7495
51,Tennessee Donor Services,36.1901,-86.8053
52,Texas Organ Sharing Alliance,29.5042,-98.5697
53,UW Health Organ and Tissue Donation,43.0356,-89.4526
54,Upstate New York Transplant Services Inc,42.9685,-78.7492
55,"Versiti Wisconsin, Inc",43.0407,-87.9357
56,Washington Regional Transplant Community,38.8635,-77.1939
57,We Are Sharing Hope SC,32.8215,-80.0568
58,Wisconsin Donor Network,43.0215,-88.0176
